"";"NU_IDADE_REFERENCIA";"CO_MUNICIPIO_END";"CO_UF_END";"CO_MUNICIPIO_END";"TP_DEPENDENCIA";"TP_ETAPA_ENSINO";"CO_REGIAO";"CO_MESORREGIAO";"CO_UF";"CO_MUNICIPIO";"CO_DISTRITO"
"166";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"167";21;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"168";10;1301902;13;1301902;3;17;1;1303;13;1301902;130190205
"169";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"170";19;1301902;13;1301902;4;39;1;1303;13;1301902;130190205
"171";7;1301902;13;1301902;3;15;1;1303;13;1301902;130190205
"172";5;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"173";4;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"174";3;1301902;13;1301902;3;1;1;1303;13;1301902;130190205
"175";10;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"176";8;1302603;13;1302603;3;16;1;1303;13;1301902;130190205
"177";11;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"178";3;1301902;13;1301902;3;1;1;1303;13;1301902;130190205
"179";10;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"180";12;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"181";6;1301902;13;1301902;3;15;1;1303;13;1301902;130190205
"182";8;1301902;13;1301902;3;NA;1;1303;13;1301902;130190205
"183";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"184";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"185";38;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"186";9;1301902;13;1301902;2;18;1;1303;13;1301902;130190205
"187";11;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"188";14;1301902;13;1301902;3;41;1;1303;13;1301902;130190205
"189";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"190";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"191";15;1301902;13;1301902;3;41;1;1303;13;1301902;130190205
"192";13;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"193";9;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"194";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"195";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"196";9;1301902;13;1301902;2;17;1;1303;13;1301902;130190205
"197";9;1301902;13;1301902;2;18;1;1303;13;1301902;130190205
"198";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"199";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"200";14;1301902;13;1301902;3;NA;1;1303;13;1301902;130190205
"201";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"202";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"203";9;1301902;13;1301902;3;NA;1;1303;13;1301902;130190205
"204";9;1301902;13;1301902;3;NA;1;1303;13;1301902;130190205
"205";40;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"206";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"207";10;1301902;13;1301902;3;17;1;1303;13;1301902;130190205
"208";6;1301902;13;1301902;2;14;1;1303;13;1301902;130190205
"209";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"210";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"211";12;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"212";21;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"213";17;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"214";10;1301902;13;1301902;3;17;1;1303;13;1301902;130190205
"215";6;1302603;13;1302603;3;17;1;1303;13;1301902;130190205
"216";20;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"217";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"218";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"219";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"220";29;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"221";46;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"222";14;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"223";9;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"224";5;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"225";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"226";41;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"227";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"228";5;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"229";23;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"230";30;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"231";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"232";20;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"233";13;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"234";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"235";9;1301902;13;1301902;2;17;1;1303;13;1301902;130190205
"236";9;1301902;13;1301902;2;17;1;1303;13;1301902;130190205
"237";23;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"238";20;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"239";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"240";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"241";17;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"242";21;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"243";18;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"244";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"245";14;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"246";12;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"247";23;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"248";13;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"249";11;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"250";10;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"251";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"252";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"253";12;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"254";15;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"255";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"256";17;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"257";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"258";13;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"259";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"260";11;NA;NA;NA;2;19;1;1303;13;1301902;130190205
"261";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"262";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"263";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"264";17;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"265";18;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"266";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"267";6;1301902;13;1301902;2;14;1;1303;13;1301902;130190205
"268";7;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"269";10;1301902;13;1301902;2;18;1;1303;13;1301902;130190205
"270";17;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"271";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"272";20;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"273";7;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"274";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"275";6;1301902;13;1301902;2;14;1;1303;13;1301902;130190205
"276";7;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"277";9;1301902;13;1301902;2;17;1;1303;13;1301902;130190205
"278";12;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"279";3;1301902;13;1301902;4;1;1;1303;13;1301902;130190205
"280";4;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"281";4;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"282";9;1301902;13;1301902;3;NA;1;1303;13;1301902;130190205
"283";14;1301902;13;1301902;3;20;1;1303;13;1301902;130190205
"284";10;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"285";18;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"286";5;1301902;13;1301902;4;2;1;1303;13;1301902;130190205
"287";3;1302603;13;1302603;3;1;1;1303;13;1301902;130190205
"288";4;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"289";4;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"290";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"291";17;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"292";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"293";4;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"294";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"295";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"296";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"297";33;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"298";28;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"299";21;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"300";34;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"301";14;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"302";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"303";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"304";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"305";17;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"306";11;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"307";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"308";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"309";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"310";17;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"311";10;1301902;13;1301902;2;18;1;1303;13;1301902;130190205
"312";10;1301902;13;1301902;2;18;1;1303;13;1301902;130190205
"313";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"314";11;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"315";13;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"316";15;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"317";13;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"318";17;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"319";18;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"320";15;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"321";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"322";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"323";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"324";15;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"325";7;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"326";7;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"327";17;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"328";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"329";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"330";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"331";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"332";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"333";11;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"334";12;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"335";15;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"336";13;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"337";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"338";8;1301902;13;1301902;2;16;1;1303;13;1301902;130190205
"339";18;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"340";15;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"341";17;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"342";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"343";17;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"344";8;1301902;13;1301902;2;16;1;1303;13;1301902;130190205
"345";15;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"346";35;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"347";17;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"348";31;1301902;13;1301902;3;69;1;1303;13;1301902;130190205
"349";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"350";10;1301902;13;1301902;2;18;1;1303;13;1301902;130190205
"351";10;1301902;13;1301902;2;18;1;1303;13;1301902;130190205
"352";10;1301902;13;1301902;2;18;1;1303;13;1301902;130190205
"353";17;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
